X,Y,DEPOSIT_NAME,CRITICAL_MINERAL,DEPOSIT_TYPE,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
82.9999999997003,-3.0000000001998,Afanasiy-Nikitin seamount,Cobalt,Sea-floor Fe-Mn(-Co-Mo-REE) crusts,-3.0000000001998,82.9999999997003,Indian Ocean,
35.6269999995504,0.333400000109975,Kimwarer,Fluorite,"Alkaline-volcanic-related epithermal veins, breccia-fills, and carbonate replacements",0.333400000109975,35.6269999995504,Kenya,
-5.80810000031471,33.5577999995704,El Hammam,Fluorite,Tin-granite-related,33.5577999995704,-5.80810000031471,Morocco,
-2.99700000034971,34.4427000002049,Jebel Tirremi,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,34.4427000002049,-2.99700000034971,Morocco,
34.310300000045,-17.5778999995853,Canxixe area,Fluorite,Deposit type unclassified,-17.5778999995853,34.310300000045,Mozambique,
32.5833000002949,-16.4000000003996,Chioco-Djanguire area,Fluorite,Deposit type unclassified,-16.4000000003996,32.5833000002949,Mozambique,
34.2000000001,-17.9332999996952,Macossa,Fluorite,Deposit type unclassified,-17.9332999996952,34.2000000001,Mozambique,
34.0829999996503,-16.3170000003497,Mount Muambe,Fluorite,Carbonatite-Related F,-16.3170000003497,34.0829999996503,Mozambique,
16.7667000002049,-20.0666999997052,Okorusu,Fluorite,Carbonatite-Related F,-20.0666999997052,16.7667000002049,Namibia,
28.6584000001599,-24.4814999998251,Buffalo,Fluorite,Tin-granite-related,-24.4814999998251,28.6584000001599,South Africa,
31.9000000001999,-28.133299999995,Hlabisa,Fluorite,Deposit type unclassified,-28.133299999995,31.9000000001999,South Africa,
28.5811000003648,-25.2552999995953,Vergenoeg,Fluorite,Tin-granite-related,-25.2552999995953,28.5811000003648,South Africa,
26.0919999999001,-25.7170000004496,Marico district,Fluorite,Mississippi Valley-type F,-25.7170000004496,26.0919999999001,South Africa,
