X,Y,OBJECTID,NAME,DIAK_CDE,CONTENTS,FIPS_CNTRY,SIZE_
854330.830800608,3035156.72461747,690,Alrar, ,"oil,gas",AG,Large
9811686.39466699,-379383.516354688,691,Limau, ,oil,ID,Large
205143.766750369,3002410.66149261,692,Reg, ,gas,AG,Large
5137039.19347315,2394323.67792577,693,Fahud, ,oil,MU,Large
9849499.51877949,-376100.371838618,694,Talang Jimar, ,oil,ID,Large
327919.692861261,5639497.42638869,695,"Haven,Helder,Helm,Hoorn", ,oil,NL,Medium
874202.573522025,2993017.8362231,696,Zarzaitine, ,"gas,oil",AG,Large
10951085.5230748,-145702.189403786,697,Sanga-Sanga, ,oil,ID,Large
809780.17302419,2861359.97980545,698,Tiguentourine, ,"oil,gas",AG,Large
5181353.22805457,2416026.12010454,699,Natih, ,oil,MU,Large
3850288.6029314,7192444.1628964,700,Severo-Gulyayevskoye, ,"oil,gas",RS,Large
10983712.901614,-165010.124194695,701,"Badak,Bekapai", ,"gas,oil",ID,Large
3081242.85510834,2946805.33671907,702,Zeit Bay, ,oil,EG,Large
3979510.10334552,6676120.35754155,703,Zapadno-Tebukskoye, ,oil,RS,Medium
5209726.63189656,2201983.47907942,704,Saih Nihayda, ,oil,MU,Large
11000905.9055151,-128656.788618368,705,Handil, ,oil,ID,Large
4098019.5928177,6793061.30298942,706,Kyrtayel'skoye, ,"oil,gas",RS,Medium
5260443.76334189,2210634.01539902,707,Qarn Alam, ,oil,MU,Large
11045557.0471728,-118168.159082134,708,Tambora, ,gas,ID,Large
4147207.07558491,6752712.79364247,709,Zapadno-Soplesskoye, ,gas,RS,Medium
11025809.4017368,-68301.5831835967,710,Pamaguan, ,oil,ID,Large
5159785.99780722,1965630.41886978,711,Marmul,0202,oil,MU,Large
12397609.3197104,-140792.697811705,712,Walio, ,oil,ID,Large
3907997.57485843,6647980.97738561,713,Yaregskoye, ,oil,RS,Large
5180320.81567014,2019033.01467616,714,Nimr, ,oil,MU,Large
9220571.31239806,2116261.30513441,715,"Mae Soon,Mae Fang", ,oil,TH,Small
4027160.59018406,6636026.20755396,716,Dzh'yerskoye, ,oil,RS,Small
5233973.9769798,2027532.78735114,717,Rima, ,oil,MU,Large
4764263.02578163,4167964.72033519,718,Kuydzhik, ,"oil,gas",TX,Medium
4117272.46974141,6635685.13806962,719,Pashninskoye, ,"oil,gas",RS,Medium
4243176.60980667,1676919.92008639,720,Azal, ,oil,YM,Medium
8026223.33358214,5938974.21119669,721,Bratskoye, ,gas,RS,Medium
4160534.90230358,6665983.04647881,722,Vuktyl'skoye, ,"oil,gas",RS,Large
4255393.43570455,1648070.2279822,723,Alif, ,oil,YM,Large
13314066.9331889,-539041.529155665,724,Hides, ,gas,PP,Large
-614624.038367727,3935709.77610667,725,Golfo de Cadiz,1101,gas,SP,Small
4361857.1035404,1646655.7251683,726,"Eyad W,Eyad E", ,oil,YM,Medium
13402071.3268839,-587444.149017469,727,Juha, ,gas,PP,Large
-232540.930942235,4650620.41425104,728,Gaviota, ,gas,SP,Medium
4497599.59552104,7367789.70402509,729,Kharasaveyskoye, ,gas,RS,Very large
13478016.5063726,-690948.45248096,730,"Jagifu,Hedinia", ,oil,PP,Medium
-98271.7347121558,4757742.02240924,731,Cazaux, ,oil,FR,Medium
4583556.2915764,7255097.33180816,732,Kruzenshternskoye, ,gas,RS,Very large
4133177.45630871,5470944.28126537,733,Zapadno-Teplovskoye, ,"oil,gas",KZ,Small
-92116.4494948771,4733801.68503189,734,Parentis, ,oil,FR,Medium
4623220.53897234,7303687.4851377,735,Bovanenkovskoye, ,gas,RS,Very large
-56037.0882737936,4638880.70104665,736,Lacq, ,gas,FR,Large
4319190.70012031,5452020.04904464,737,Kara-Chaganakskoye, ,"oil,gas",KZ,Very large
4712429.8400498,5166281.33571857,738,Kenkiyakskoye, ,oil,KZ,Large
4812687.45507541,7377612.37811218,739,Yuzhno-Tambeyskoye, ,gas,RS,Very large
212002.730983883,5184541.56440733,740,Chaunoy, ,oil,FR,Small
4399351.64657034,5070414.27487368,741,Dossor, ,oil,KZ,Small
248032.561339176,5201099.66548228,742,Villeperdu, ,oil,FR,Small
4804589.85985421,7238142.68626997,743,Arkticheskoye, ,"oil,gas",RS,Large
4475987.35304226,5049481.15905658,744,Komsomol'skiy, ,oil,KZ,Small
373831.116047459,5598805.7070819,745,Bergen, ,gas,NL,Medium
4445021.36303975,5002905.59200505,746,Karsak, ,oil,KZ,Small
4393192.2067909,5031355.07091495,747,Baychunas, ,oil,KZ,Small
4247816.14746829,5020525.97425611,748,Kamyshitovyy Yugo-Zapadnyy, ,"oil,gas",KZ,Medium
4348721.74022218,4692568.57098866,749,Dunga-Espelisay, ,"oil,gas",KZ,Medium
4445262.39402528,4649336.53228189,750,Zhetybay, ,"oil,gas",KZ,Large
4488143.76709283,4638574.96233548,751,Uzen', ,"oil,gas",KZ,Large
410494.657327973,5599264.11506645,752,Middelie, ,gas,NL,Large
4512838.40172593,4613998.77261952,753,Tenginskoye, ,oil,KZ,Very large
534383.249967094,5656333.2565048,754,Groningen, ,gas,NL,Very large
4342967.50051948,4789035.27371492,755,Karazhanbas, ,"oil,gas",KZ,Medium
555372.850249402,5606877.35672273,756,Schoonebeek, ,oil,NL,Large
4381840.31344558,4798771.19018958,757,Severnyy Buzachi, ,"oil,gas",KZ,Large
571998.230542975,5586636.93887585,758,"Bramberg,Ruhle,Georgsdorf",1172,oil,GM,Medium
4397971.40756393,4826062.82308623,759,Kalamkas, ,"oil,gas",KZ,Large
664469.449630414,5605384.2161546,760,Visbek, ,gas,GM,Medium
922568.486251008,5606268.02144562,761,Salzwedel, ,gas,GM,Large
4487147.60918988,4872919.90928122,762,Prorva Vostochnaya i Tsentral'naya, ,"oil,gas",KZ,Small
4494154.86975823,4944053.93534773,763,Karaton-Koshkimbet, ,"oil,gas",KZ,Small
113933.706336832,4352189.67491838,764,Casablanca, ,"gas,oil",SP,Medium
4516516.87030889,4998634.37174761,765,Kul'sary, ,"oil,gas",KZ,Small
743309.22521548,4853534.75637453,766,Villa Fortuna, ,gas,IT,Large
4616553.13299423,4938126.00118497,767,Tortay, ,oil,KZ,Small
797423.519809177,4865264.34520153,768,Malossa, ,gas,IT,Large
4728320.92286001,4865948.16094202,769,Chagyrly-Chumyshty, ,gas,KZ,Small
1297246.88344883,3896416.70752491,770,Vega, ,oil,IT,Large
5087767.5113247,4277173.34437577,771,Darvaza-Zaaglinskoye, ,gas,TX,Large
1302335.22671825,3944306.96731418,772,Ragusa, ,oil,IT,Medium
4638345.73895502,4216441.42647128,773,Cheleken, ,oil,TX,Small
1264832.45848206,3953349.09253974,774,Gela, ,oil,IT,Medium
4677171.65440383,4218579.43931352,775,Leninskoye, ,oil,TX,Large
1275528.06257917,4035576.88168713,776,Gagliano, ,gas,IT,Medium
4709643.37565601,4178546.3969846,777,Burun, ,"oil,gas",TX,Medium
1504825.1140552,4179529.65195468,778,Luna, ,gas,IT,Medium
2364401.6962967,4355743.48320702,779,Murefte,0272,gas,TU,Small
1192976.33125908,4605503.0963207,780,Santa Maria-Mare, ,oil,IT,Medium
7257460.5473334,4912764.6236431,781,Karamay, ,oil,CH,Large
1057720.04866367,4725624.36595206,782,Ravenna-Mare, ,gas,IT,Medium
1079146.85912419,4738899.5627571,783,Porto Corsini-Mare, ,gas,IT,Large
1069863.96290166,4757517.49586947,784,Porto Garibaldi-Agostine, ,gas,IT,Large
1383020.69986075,5149224.84589281,785,"Matzen,group", ,"gas,oil",AU,Large
2125074.7450892,4364564.02678076,786,Prinos, ,"gas,oil",GR,Medium
1879747.65244883,5288895.65208125,787,Khodnovichskoye, ,gas,UP,Medium
1945911.05663941,5266752.43366971,788,Rudkovskoye, ,gas,UP,Small
1923733.15954257,5239884.72066365,789,Borislavskoye, ,"oil,gas",UP,Small
1961911.92174001,5212084.35000296,790,Severodolinskoye, ,"oil,gas",UP,Small
2019477.62657135,5158558.35648348,791,Bitkov-Babchenskoye, ,"oil,gas",UP,Medium
2657241.00486996,4859446.93009759,792,Golitsinskoye, ,gas,UP,Medium
2398145.69605091,5535572.39096891,793,Zolotukhinskoye, ,"oil,gas",BO,Small
2443871.54954699,5544894.95414272,794,Rechitskoye, ,oil,BO,Small
2397855.42671987,5574572.47547638,795,Berezinskoye, ,oil,BO,Medium
2333490.49130785,5571683.25292352,796,Vishanskoye, ,oil,BO,Small
1673113.99685771,5878686.28899747,797,Degliai, ,oil,LH,Small
1689069.66785877,5891685.4695087,798,"Siupariai,Vilkiciai",01651612,oil,LH,Small
1696752.35818883,5917812.8640136,799,"Genciai,Plunge",04121420,oil,LH,Small
1601584.45620938,5803625.59024331,800,Ladushkinskoye, ,oil,RS,Small
1665787.71879003,5794728.02318037,801,Ushakovskoye, ,oil,RS,Small
1716914.87477475,5814600.41950777,802,Slavskoye, ,oil,RS,Small
1756316.09110423,5784924.23233231,803,Gusevskoye, ,oil,RS,Small
4359454.13748745,6145090.24546263,804,Yarino-Kamennolozhskoye, ,"oil,gas",RS,Medium
4396816.76955662,6059569.00211767,805,Kokuyskoye, ,"oil,gas",RS,Large
4037364.60123621,6177285.57126832,806,Zolotarevskoye, ,oil,RS,Small
4105781.36312024,6062385.07924156,807,Chutyrsko-Kiyengopskoye, ,"oil,gas",RS,Large
4189817.32997308,6037250.8148513,808,Mishkinskoye, ,"oil,gas",RS,Large
4260901.83257654,6054303.95341589,809,Osinskoye, ,oil,RS,Large
4210900.06409978,5965860.37491197,810,Yel'nikovskoye, ,oil,RS,Large
4243544.46076713,5926146.64615063,811,Arlanskoye, ,oil,RS,Large
4301750.33247577,5970052.86959668,812,Krasnoyarsko-Kuyedinskoye, ,"oil,gas",RS,Large
4369746.1325706,5932223.15295387,813,Teplyakovskoye, ,oil,RS,Small
4403454.72182201,5962561.90598829,814,Pavlovskoye, ,"oil,gas",RS,Large
4430216.20771551,5880206.61822354,815,Kushkul'skoye, ,oil,RS,Medium
4274712.77584297,5869831.89918996,816,Mancharovskoye, ,oil,RS,Medium
4083479.01483174,5908449.36307694,817,Pervomayskoye, ,oil,RS,Medium
4039105.00035544,5859454.43967888,818,Tavel'skoye, ,oil,RS,Medium
4151778.40950682,5818719.61127501,819,Romashkinskoye, ,oil,RS,Very large
4412697.6665152,4284717.33727805,820,Neftyanye Kamni, ,"oil,gas",AJ,Large
4261259.33863459,4250863.67861525,821,Kyurovdag, ,"oil,gas",AJ,Large
10853329.6236577,-2118703.58534597,822,Wanaea, ,oil,AS,Medium
10810591.650243,-2132849.57834609,823,North Rankin, ,gas,AS,Large
10756685.3547411,-2160946.20449181,824,Goodwyn, ,gas,AS,Large
10682344.2119311,-2221801.48601822,825,Barrow Island, ,"gas,oil",AS,Large
10630090.3448627,-2257996.92778949,826,Gorgon, ,gas,AS,Large
10433511.9061374,-3265095.45727035,827,Dongara, ,"gas,oil",AS,Small
11836508.3114054,-1256316.33902479,828,Jabiru, ,oil,AS,Medium
11791253.4329187,-1311749.75497609,829,Chaliss-Cassini, ,oil,AS,Small
12012350.6369515,-1472241.39146558,830,Petrel, ,gas,AS,Small
11972467.7999739,-1499071.80905161,831,Tern, ,gas,AS,Small
11411195.5716638,-1496200.185997,832,Scott Reef, ,gas,AS,Large
11379453.3571613,-1548052.49522321,833,Brecknock, ,gas,AS,Large
